Member_number,Date,itemDescription
4190,24/08/14,flower (seeds)
4756,10/11/14,pot plants
3057,16/07/14,instant coffee
2362,05/04/14,specialty bar
4402,04/04/14,coffee
4191,10/11/14,spread cheese
1312,07/09/14,rolls/buns
4179,03/08/14,other vegetables
2608,19/11/14,pasta
4991,24/04/14,pasta
2517,26/02/14,soft cheese
4745,01/04/14,soda
1248,25/03/14,margarine
3799,22/05/14,tropical fruit
2850,10/01/14,root vegetables
1788,02/12/14,other vegetables
3746,05/04/14,spread cheese
1888,30/10/14,pastry
1123,28/12/14,whole milk
4168,23/09/14,margarine
2979,25/08/14,whole milk
1417,27/08/14,other vegetables
3529,29/06/14,pastry
3119,02/07/14,flour
1286,19/12/14,chewing gum
3670,17/12/14,detergent
1869,11/01/14,tropical fruit
3219,01/09/14,waffles
3619,24/08/14,soda
3136,28/04/14,flour
3922,29/05/14,yogurt
2204,02/04/14,bottled beer
1115,15/09/14,yogurt
2746,16/09/14,salty snack
4957,02/08/14,bottled beer
3814,22/10/14,domestic eggs
2435,30/10/14,cat food
2955,30/11/14,candles
4412,13/03/14,canned vegetables
4401,30/04/14,hygiene articles
4046,06/12/14,butter
1343,05/10/14,dog food
4854,23/12/14,bottled beer
2798,27/06/14,bottled water
2912,02/10/14,yogurt
2941,27/01/14,berries
2594,25/07/14,yogurt
4383,03/06/14,whipped/sour cream
4291,02/02/14,cream cheese 
3122,10/06/14,pastry
1434,28/11/14,condensed milk
2206,24/06/14,canned beer
4758,06/12/14,root vegetables
3370,24/11/14,hygiene articles
3295,07/06/14,other vegetables
4325,11/12/14,brown bread
3089,27/10/14,pickled vegetables
4758,01/04/14,bottled beer
3748,16/02/14,pastry
1249,11/10/14,frozen meals
4056,16/06/14,cream cheese 
4673,23/06/14,specialty chocolate
4589,24/01/14,candy
1995,04/11/14,fruit/vegetable juice
2663,30/03/14,shopping bags
4713,27/06/14,frozen dessert
3353,24/01/14,yogurt
1043,16/06/14,whole milk
3227,01/03/14,cat food
3210,21/12/14,cling film/bags
4696,08/09/14,rolls/buns
4573,24/03/14,sliced cheese
4409,06/05/14,bottled water
2994,12/07/14,yogurt
4233,18/01/14,soda
2353,18/01/14,soda
4561,25/02/14,oil
1182,16/11/14,baking powder
1223,18/11/14,semi-finished bread
3837,01/12/14,bottled water
1268,30/01/14,margarine
1649,24/11/14,yogurt
1113,07/01/14,yogurt
3248,25/10/14,white bread
3803,17/06/14,skin care
2389,13/10/14,shopping bags
4266,29/11/14,soda
2719,16/02/14,rolls/buns
1679,19/08/14,brown bread
3861,18/03/14,newspapers
3402,26/12/14,flower (seeds)
3559,12/11/14,pastry
4958,10/05/14,instant coffee
4780,09/03/14,newspapers
4162,16/02/14,red/blush wine
3813,25/12/14,specialty bar
4624,22/04/14,yogurt
2004,14/09/14,beverages
3978,06/09/14,baking powder
4124,27/07/14,pastry
